"LegalForm","Region","PropRight","Purpose","Area","Subject"
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",49.09,2
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",0.5243,1
Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,Не визначений,0.052000000000000005,2
Фізична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",5.495,4
Фізична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.8265,5
Фізична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",18.747600000000002,34
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",417.8632000000001,79
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",47.259699999999995,8
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",26.3714,17
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",1.1562000000000001,7
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.026,1
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,Не визначений,52.806900000000006,28
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",117.4613,32
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),Не визначений,17.5176,5
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",21.4317,6
Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",3.0,2
Фізична особа,Не визначений,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",285.7906,0
Фізична особа,Не визначений,Власність,"01.02 Для ведення фермерського господарства",61.73650000000001,0
Фізична особа,Не визначений,Власність,"01.03 Для ведення особистого селянського господарства",6.9942,0
Фізична особа,Не визначений,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.7286,0
Фізична особа,Не визначений,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.0186,0
Фізична особа,Не визначений,Власність,Не визначений,0.0,0
Фізична особа,Не визначений,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",2300.0,0
Фізична особа,Не визначений,Володіння,"01.03 Для ведення особистого селянського господарства",5.6112,0
Фізична особа,Не визначений,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",8.4239,0
Фізична особа,Не визначений,Користування для с/г потреб (емфітевзис),Не визначений,0.0,0
Фізична особа,Не визначений,Не визначений,Не визначений,0.0,0
Фізична особа,Не визначений,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",5.8636,0
Фізична особа,Не визначений,Постійне користування,"01.01 Для ведення товарного сільськогосподарського виробництва",14.1117,0
Фізична особа,Не визначений,Постійне користування,"01.02 Для ведення фермерського господарства",115.106,0
Фізична особа,Не визначений,Суборенда,"12.03 Для розміщення та експлуатації будівель і споруд річкового транспорту",1.0,0
Фізична особа,ОДЕСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",10.577399999999999,4
Фізична особа,ОДЕСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",2.0407,2
Фізична особа,ОДЕСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.34750000000000003,2
Фізична особа,ОДЕСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",47.3503,15
Фізична особа,ОДЕСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",45.3292,1
Фізична особа,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",2.7,2
Фізична особа,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,Не визначений,0.47209999999999996,2
Фізична особа,РІВНЕНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",2.1605,4
Фізична особа,РІВНЕНСЬКА ОБЛАСТЬ,Постійне користування,"01.02 Для ведення фермерського господарства",10.7,1
Фізична особа,СУМСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",16.9623,12
Фізична особа,СУМСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",2.6787,1
Фізична особа,СУМСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",6.325699999999999,4
Фізична особа,СУМСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.2431,2
Фізична особа,СУМСЬКА ОБЛАСТЬ,Постійне користування,"01.02 Для ведення фермерського господарства",23.6253,1
Фізична особа,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",5.1392999999999995,4
Фізична особа,ХАРКІВСЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",63.9976,1
Фізична особа,ХЕРСОНСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",10.6506,2
Фізична особа,ХЕРСОНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",1.5,1
Фізична особа,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",2.0,1
Фізична особа,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",28.496299999999994,12
Фізична особа,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",14.568000000000001,8
Фізична особа,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.5,2
Фізична особа,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,Не визначений,1.1184,3
Фізична особа,ЧЕРКАСЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",57.2,1
Фізична особа,ЧЕРНІВЕЦЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",0.5665,1
Фізична особа,ЧЕРНІВЕЦЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",8.4514,10
Фізична особа,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",8.8687,10
Фізична особа,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Власність,Не визначений,0.4869,3
ФОП,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",8.0112,7
ФОП,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",24.237199999999998,15
ФОП,ВІННИЦЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.36519999999999997,3
ФОП,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",10.092600000000001,5
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",4.4875,4
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",3.9105999999999996,4
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Власність,Не визначений,0.631,3
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",10.8311,8
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",20.0,1
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",107.78459999999997,58
ФОП,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,Не визначений,10.5656,7
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.005,4
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.8336,4
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"02.05 Для будівництва індивідуальних гаражів",0.0048,1
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,Не визначений,0.2582,2
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",16.7343,2
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",40.695800000000006,22
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",86.83530000000002,16
ФОП,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",19.5,13
ФОП,ЖИТОМИРСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",4.4402,1
ФОП,ЖИТОМИРСЬКА ОБЛАСТЬ,Власність,"01.05 Для індивідуального садівництва",0.1,1
ФОП,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",1.7748,1
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",29.9164,6
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",1.0,1
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.4012,2
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",42.817899999999995,8
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",17.46,2
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",15.379999999999999,3
ФОП,ЗАПОРІЗЬКА ОБЛАСТЬ,Оренда,Не визначений,9.34,3
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",0.3256,1
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Власність,"01.08 Для сінокосіння і випасання худоби",3.1675,1
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1002,1
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Власність,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",0.4741,1
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",44.3866,4
ФОП,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",0.5485,1
ФОП,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",5.4193999999999996,3
ФОП,КИЇВСЬКА ОБЛАСТЬ,Власність,"01.05 Для індивідуального садівництва",0.5637000000000001,5
ФОП,КИЇВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.2931,5
ФОП,КИЇВСЬКА ОБЛАСТЬ,Постійне користування,"01.02 Для ведення фермерського господарства",24.996,1
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",25.183799999999998,8
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",5.3476,1
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",0.3796,1
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Власність,Не визначений,0.04,4
ФОП,КІРОВОГРАДСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",39.599000000000004,7
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",35.151599999999995,7
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.3865,3
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Власність,Не визначений,1.8959,2
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",534.4735000000001,101
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",59.12070000000002,49
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",0.5742,2
ФОП,ЛУГАНСЬКА ОБЛАСТЬ,Оренда,Не визначений,22.3548,5
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",16.7095,18
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",6.1933,6
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"01.05 Для індивідуального садівництва",0.079,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.9025,8
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"02.05 Для будівництва індивідуальних гаражів",0.0241,2
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"03.03 Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги",0.0767,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.012,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"03.13 Для будівництва та обслуговування будівель закладів побутового обслуговування",0.0214,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,"03.15 Для будівництва та обслуговування інших будівель громадської забудови",0.17,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Власність,Не визначений,0.2,2
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",215.95290000000023,249
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",52.6951,2
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",5.074200000000001,13
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Оренда,"10.07 Для рибогосподарських потреб",4.8544,1
ФОП,ЛЬВІВСЬКА ОБЛАСТЬ,Суборенда,"01.01 Для ведення товарного сільськогосподарського виробництва",0.43,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",28.1779,5
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",25.05,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",212.66969999999995,113
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",1.0443,4
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.0567,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",2.0,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,"14.01 Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об'єктів енергогенеруючих підприємств, установ і організацій",6.0,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Власність,Не визначений,4.3947,9
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",19.958,2
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",61.9653,17
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",1.87,2
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),Не визначений,92.03580000000001,23
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",259.98879999999997,36
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",144.61110000000002,89
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"01.04 Для ведення підсобного сільського господарства",1.0,1
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",16.0,8
ФОП,МИКОЛАЇВСЬКА ОБЛАСТЬ,Оренда,Не визначений,14.9912,5
ФОП,Не визначений,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",24719.617599999998,0
ФОП,Не визначений,Власність,"01.02 Для ведення фермерського господарства",9.3232,0
ФОП,Не визначений,Власність,"01.03 Для ведення особистого селянського господарства",38.72130000000001,0
ФОП,Не визначений,Власність,"01.04 Для ведення підсобного сільського господарства",2.8275,0
ФОП,Не визначений,Власність,"01.13 Для іншого сільськогосподарського призначення",2.12,0
ФОП,Не визначений,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,0
