CreateAt,LegalForm,Region,TypeProgram,NameProgram,organization,TotalAmount,DesiredAmount,ProvidedAmount,LandParcelCount,AnimalCount
2022-08-30,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] утримання корів 2-5000 / заявка+договір+реєстр,Укрдержфонд,1545500000,56000,0,1,5
2022-08-30,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] (1 га до 1300) заявка+договір+реєстр,Укрдержфонд,1545500000,89000,0,120,97
2022-08-30,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08]  (1 га) 1300 / реєстр виплат,Укрдержфонд,1545500000,50000.7,45000,122,0
2022-08-30,Юридична особа,ОДЕСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] (1 га) 1-3000 / договір,Укрдержфонд,1545500000,700000,0,244,0
2022-08-30,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08]  (1 га) 1300 / реєстр виплат,Укрдержфонд,1545500000,123659,0,17,0
2022-08-30,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] (1 га до 1300) заявка+договір+реєстр,Укрдержфонд,1545500000,123659,0,17,0
2022-08-30,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 30.08] (1 га) 1-3000 / договір,Укрдержфонд,1545500000,123659,0,17,0
2022-08-31,ФОП,ЖИТОМИРСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 31.08] (1 га) ,Укрдержфонд,1545500000,345345,0,0,0
2022-08-31,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції, [wf 31.08] утримання корів ,Укрдержфонд,1545500000,56000,0,120,97
2022-08-31,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 31.08]  (1 га) заява/реєстр/договір,Укрдержфонд,1545500000,260000,0,120,97
2022-08-31,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Бюджетна субсидія на одиницю оброблюваних угідь (1 га)  (test2),Укрдержфонд,1545500000,167400,0,120,97
2022-08-31,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 31.08]  (1 га до 1300) заява/реєстр/договір,Укрдержфонд,1545500000,123659,0,17,0
2022-08-31,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 31.08]  (1 га) заява/реєстр/договір,Укрдержфонд,1545500000,123659,0,17,0
2022-08-31,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 31.08] (1 га) ,Укрдержфонд,1545500000,123659,0,17,0
2022-08-31,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Бюджетна субсидія на одиницю оброблюваних угідь (1 га)  (test2),Укрдержфонд,1545500000,123659,0,17,0
2022-09-01,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів  /  авто,Укрдержфонд,1545500000,34534,0,1,5
2022-09-01,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,654,0,1,5
2022-09-01,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0]  (1 га) автомат 22222,Укрдержфонд,1545500000,234234,0,1252,0
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0]  (1 га) /    /  авто,Укрдержфонд,1545500000,780123,0,240,194
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0]  (1 га) автомат,Укрдержфонд,1545500000,65655,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0]  (1 га) автомат 22222,Укрдержфонд,1545500000,65656,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0] (1 га) \ автомат,Укрдержфонд,1545500000,67000,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0] (1 га) 3 авт.,Укрдержфонд,1545500000,76000,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів  /  авто,Укрдержфонд,1545500000,56000,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів \ автомат,Укрдержфонд,1545500000,560000,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09] (1 га) заява,Укрдержфонд,1545500000,567657,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,43534543,0,120,97
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,579435,0,240,194
2022-09-01,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,довга назва групи,Укрдержфонд,1545500000,678,0,120,97
2022-09-01,Юридична особа,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09] (1 га) заява,Укрдержфонд,1545500000,123659,0,17,0
2022-09-02,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів / автомат 3/0,Укрдержфонд,1545500000,670000,0,1,5
2022-09-02,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів  / 100% на другий,Укрдержфонд,1545500000,3454,0,1,5
2022-09-02,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна дотація за утримання корів ,Укрдержфонд,1545500000,789789,0,1,5
2022-09-02,ФОП,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів / автомат 3/0,Укрдержфонд,1545500000,345,0,704,206
2022-09-02,ФОП,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів  / 100% на другий,Укрдержфонд,1545500000,65565,0,704,206
2022-09-02,Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0] (1 га) автомат 3/0,Укрдержфонд,1545500000,3453453,0,0,0
2022-09-02,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів / автомат 3/0,Укрдержфонд,1545500000,78979,0,335,1395
2022-09-02,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр,Укрдержфонд,1545500000,345345,0,1252,0
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09  v2.0] (1 га) автомат 3/0,Укрдержфонд,1545500000,345000,0,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 01.09 v2.0] утримання корів / автомат 3/0,Укрдержфонд,1545500000,90000,5700.77,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр,Укрдержфонд,1545500000,16596833,0,600,485
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр (Копія 1),Укрдержфонд,1545500000,890000,0,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр (Копія 2),Укрдержфонд,1545500000,89500,30000,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0] (1 га)  / другий етап 100%,Укрдержфонд,1545500000,3245000,0,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0] (1 га) / 100% на другий,Укрдержфонд,1545500000,989898,0,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів  / 100% на другий,Укрдержфонд,1545500000,98000,45000,120,97
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів / другий етап 100%,Укрдержфонд,1545500000,768565,0,360,291
2022-09-02,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів / реєстр,Укрдержфонд,1545500000,719894,780,240,194
2022-09-03,Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр,Укрдержфонд,1545500000,176762,0,26,0
2022-09-03,Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр (Копія 2),Укрдержфонд,1545500000,176762,0,26,0
2022-09-03,Фізична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,176762,0,26,0
2022-09-05,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів / реєстр,Укрдержфонд,1545500000,142872,0,4,20
2022-09-05,Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,київська обл без району і отг,Укрдержфонд,1545500000,100000,0,0,0
2022-09-05,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр,Укрдержфонд,1545500000,347773419,0,720,582
2022-09-05,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09  v3.0]  (1 га) / реєстр (Копія 2),Укрдержфонд,1545500000,5015120,44444,1080,873
2022-09-05,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів / реєстр,Укрдержфонд,1545500000,334842,0,480,388
2022-09-05,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,TEST 2 [wf 01.09] Бюджетна дотація за утримання корів ,Укрдержфонд,1545500000,323432,0,120,97
2022-09-06,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 02.09 v3.0] корів / реєстр,Укрдержфонд,1545500000,456546,0,120,97
2022-09-07,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,345345,0,1,5
2022-09-07,Фізична особа,ЛУГАНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,401345.99,0,2,10
2022-09-07,ФОП,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,34543,0,704,206
2022-09-07,ФОП,СУМСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,2688587,5555,1408,412
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09  v4.0] [100% на 2 етап] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,4564564,0,120,97
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09  v4.0] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,1883364,0,240,194
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0]  [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,780698,0,240,194
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] [100% на 2 етап] Бюджетна субсидія на одиницю оброблюваних угідь (1 га) (Копія 1),Укрдержфонд,1545500000,4798,0,240,194
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,32682,0,480,388
2022-09-07,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,690690,0,240,194
2022-09-08,Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0]  [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,37666,0,0,9
2022-09-08,Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,455846,0,0,9
2022-09-08,Фізична особа,МИКОЛАЇВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,миколаївська обл,Укрдержфонд,1545500000,3284684,0,0,9
2022-09-08,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0]  [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,198614,0,12,17028
2022-09-08,Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,476327,0,10,14190
2022-09-08,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0]  [100% на 2 етап] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,6910736,0,1500,2056
2022-09-08,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] [100% на 2 етап] Бюджетна субсидія на одиницю оброблюваних угідь (1 га) (Копія 1),Укрдержфонд,1545500000,6704167,0,1080,873
2022-09-08,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна дотація за утримання корів,Укрдержфонд,1545500000,3365234,0,1812,2983
2022-09-08,Юридична особа,ЛЬВІВСЬКА ОБЛАСТЬ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,[wf 07.09 v4.0] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Укрдержфонд,1545500000,188349,5000,840,679
