LegalForm,catottg_region,Region,catottg_district,District,catottg_community,Community,PropRight,Purpose,Area,Subject
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020170000049971,ПАВЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,4.4734,5
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07080000000034745,ЛУЦЬКИЙ РАЙОН,UA07080270000067148,ТОРЧИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.6369,1
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020030000052032,ЗАТУРЦІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020090000019505,ЛИТОВЕЗЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",0.043,1
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020170000049971,ПАВЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,Не визначений,0.37970000000000004,2
Фізична особа,UA07000000000024379,ВОЛИНСЬКА ОБЛАСТЬ,UA07020000000048211,ВОЛОДИМИР-ВОЛИНСЬКИЙ РАЙОН,UA07020170000049971,ПАВЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Постійне користування,01.02 Для ведення фермерського господарства,5.5,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12040000000032213,КАМ’ЯНСЬКИЙ РАЙОН,UA12040170000019083,КРИНИЧАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,5.9365,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12060000000022633,КРИВОРІЗЬКИЙ РАЙОН,UA12060190000043514,ЛОЗУВАТСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,12.41,2
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12120000000089862,ПАВЛОГРАДСЬКИЙ РАЙОН,UA12120130000021632,ЮР’ЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,6.6343,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,11.925,2
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12060000000022633,КРИВОРІЗЬКИЙ РАЙОН,UA12060130000012028,ЗЕЛЕНОДОЛЬСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,6.5212,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12040000000032213,КАМ’ЯНСЬКИЙ РАЙОН,UA12040170000019083,КРИНИЧАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,46.0,23
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12120000000089862,ПАВЛОГРАДСЬКИЙ РАЙОН,UA12120130000021632,ЮР’ЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0749,2
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,4.0,2
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12120000000089862,ПАВЛОГРАДСЬКИЙ РАЙОН,UA12120130000021632,ЮР’ЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12060000000022633,КРИВОРІЗЬКИЙ РАЙОН,UA12060010000090992,АПОСТОЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,02.05 Для будівництва індивідуальних гаражів,0.01,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12120000000089862,ПАВЛОГРАДСЬКИЙ РАЙОН,UA12120130000021632,ЮР’ЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,Не визначений,5.6409,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12040000000032213,КАМ’ЯНСЬКИЙ РАЙОН,UA12040170000019083,КРИНИЧАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,11.029,2
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,5.0,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,16.0,8
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.07 Для городництва,0.5,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140030000091432,ВАСИЛЬКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Суборенда,01.01 Для ведення товарного сільськогосподарського виробництва,5.5809,1
Фізична особа,UA12000000000090473,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,UA12140000000011720,СИНЕЛЬНИКІВСЬКИЙ РАЙОН,UA12140070000025486,ДУБОВИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Суборенда,01.01 Для ведення товарного сільськогосподарського виробництва,6.44,1
Фізична особа,UA14000000000091971,ДОНЕЦЬКА ОБЛАСТЬ,UA14120000000070232,КРАМАТОРСЬКИЙ РАЙОН,UA14120170000011133,ОЛЕКСАНДРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Суборенда,01.01 Для ведення товарного сільськогосподарського виробництва,0.9681,1
Фізична особа,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,UA18040000000058965,ЖИТОМИРСЬКИЙ РАЙОН,UA18040590000064402,ЧЕРНЯХІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
Фізична особа,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,UA18060000000021754,КОРОСТЕНСЬКИЙ РАЙОН,UA18060130000061781,МАЛИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
Фізична особа,UA18000000000041385,ЖИТОМИРСЬКА ОБЛАСТЬ,UA18040000000058965,ЖИТОМИРСЬКИЙ РАЙОН,UA18040590000064402,ЧЕРНЯХІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1177,1
Фізична особа,UA21000000000011690,ЗАКАРПАТСЬКА ОБЛАСТЬ,UA21040000000077329,МУКАЧІВСЬКИЙ РАЙОН,UA21040210000079273,ПОЛЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.0222,1
Фізична особа,UA21000000000011690,ЗАКАРПАТСЬКА ОБЛАСТЬ,UA21040000000077329,МУКАЧІВСЬКИЙ РАЙОН,UA21040210000079273,ПОЛЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1347,1
Фізична особа,UA23000000000064947,ЗАПОРІЗЬКА ОБЛАСТЬ,UA23060000000070350,ЗАПОРІЗЬКИЙ РАЙОН,UA23060230000071243,ПАВЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,2
Фізична особа,UA23000000000064947,ЗАПОРІЗЬКА ОБЛАСТЬ,UA23100000000034132,ПОЛОГІВСЬКИЙ РАЙОН,UA23100270000073418,ТОКМАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.4108,1
Фізична особа,UA23000000000064947,ЗАПОРІЗЬКА ОБЛАСТЬ,UA23100000000034132,ПОЛОГІВСЬКИЙ РАЙОН,UA23100270000073418,ТОКМАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,UA26040000000044761,ІВАНО-ФРАНКІВСЬКИЙ РАЙОН,UA26040350000024417,ТЛУМАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,UA26040000000044761,ІВАНО-ФРАНКІВСЬКИЙ РАЙОН,UA26040230000035526,ОБЕРТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,9.1936,1
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,UA26040000000044761,ІВАНО-ФРАНКІВСЬКИЙ РАЙОН,UA26040350000024417,ТЛУМАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,4.1693,1
Фізична особа,UA26000000000069363,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,UA26040000000044761,ІВАНО-ФРАНКІВСЬКИЙ РАЙОН,UA26040350000024417,ТЛУМАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",17.8606,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020090000022264,МАЛОВІЛЬШАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,12.103000000000002,4
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020130000010013,РОКИТНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,3.8532,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32060000000012455,БРОВАРСЬКИЙ РАЙОН,UA32060110000050416,ЗГУРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,3.7763,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120130000012946,РЖИЩІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,358.37118999999996,66
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120130000012946,РЖИЩІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,4.94,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020030000029575,ВОЛОДАРСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020130000010013,РОКИТНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.1739,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020210000064694,ТЕТІЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32060000000012455,БРОВАРСЬКИЙ РАЙОН,UA32060110000050416,ЗГУРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.2732,2
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020130000010013,РОКИТНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.05 Для індивідуального садівництва,0.1,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32100000000065867,ВИШГОРОДСЬКИЙ РАЙОН,UA32100030000066252,ДИМЕРСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.05 Для індивідуального садівництва,0.1035,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32140000000020217,ФАСТІВСЬКИЙ РАЙОН,UA32140010000049369,БИШІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.05 Для індивідуального садівництва,0.07,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020090000022264,МАЛОВІЛЬШАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.5,2
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32020000000057002,БІЛОЦЕРКІВСЬКИЙ РАЙОН,UA32020130000010013,РОКИТНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32060000000012455,БРОВАРСЬКИЙ РАЙОН,UA32060110000050416,ЗГУРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.2076,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120090000034281,МИРОНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120130000012946,РЖИЩІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Інше,01.02 Для ведення фермерського господарства,12.0,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120090000034281,МИРОНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,2.5553,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120090000034281,МИРОНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,53.0,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120130000012946,РЖИЩІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,94.0,5
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120090000034281,МИРОНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.13 Для іншого сільськогосподарського призначення,0.7564,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120130000012946,РЖИЩІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,03.07 Для будівництва та обслуговування будівель торгівлі,0.0319,1
Фізична особа,UA32000000000030281,КИЇВСЬКА ОБЛАСТЬ,UA32120000000081110,ОБУХІВСЬКИЙ РАЙОН,UA32120090000034281,МИРОНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,12.08 Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій,2.4105,1
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060030000099117,ГЛОДОСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,173.59269999999992,46
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060150000073710,НОВОУКРАЇНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,12.1866,6
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060150000073710,НОВОУКРАЇНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,29.6283,8
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060210000019042,РІВНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,10.9698,3
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060030000099117,ГЛОДОСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.0,1
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060130000087718,НОВОМИРГОРОДСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.452,1
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060150000073710,НОВОУКРАЇНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,Не визначений,0.2,2
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060030000099117,ГЛОДОСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,89.223,25
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35020000000074289,ГОЛОВАНІВСЬКИЙ РАЙОН,UA35020030000022644,ВІЛЬШАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,5.5504999999999995,2
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060210000019042,РІВНЯНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,10.641,1
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060150000073710,НОВОУКРАЇНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.07 Для городництва,0.0745,1
Фізична особа,UA35000000000016081,КІРОВОГРАДСЬКА ОБЛАСТЬ,UA35060000000086172,НОВОУКРАЇНСЬКИЙ РАЙОН,UA35060150000073710,НОВОУКРАЇНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.1,1
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,UA44100000000052765,СВАТІВСЬКИЙ РАЙОН,UA44100070000070448,ЛОЗНО-ОЛЕКСАНДРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,9.9088,1
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,UA44100000000052765,СВАТІВСЬКИЙ РАЙОН,UA44100110000061602,СВАТІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,289.25629999999995,63
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,UA44100000000052765,СВАТІВСЬКИЙ РАЙОН,UA44100070000070448,ЛОЗНО-ОЛЕКСАНДРІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.6589,1
Фізична особа,UA44000000000018893,ЛУГАНСЬКА ОБЛАСТЬ,UA44100000000052765,СВАТІВСЬКИЙ РАЙОН,UA44100110000061602,СВАТІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,41.201499999999996,31
